source,target,value
ARCH 201,ARCH 282,1
ARCH 100,ARCH 312,1
ARCH 101,ARCH 312,1
ARCH 201,ARCH 312,1
HS 100,ARCH 312,1
HS 231,ARCH 312,1
HS 232,ARCH 312,1
HS 277,ARCH 312,1
HIST 277,ARCH 312,1
ARCH 100,ARCH 313,1
ARCH 201,ARCH 313,1
HS 100,ARCH 313,1
HS 231,ARCH 313,1
HS 232,ARCH 313,1
HS 277,ARCH 313,1
HIST 277,ARCH 313,1
ARCH 131,ARCH 344,1
ARCH 101,ARCH 349,1
ARCH 201,ARCH 349,1
ARCH 282,ARCH 382,1
ARCH 372,ARCH 382,1
BISC 101,BISC 205,1
BISC 102,BISC 205,1
PHYS 101,BISC 205,1
BISC 101,BISC 327,1
BISC 102,BISC 327,1
BISC 101,BISC 328,1
BISC 102,BISC 328,1
BISC 202,BISC 357,1
MBB 222,BISC 357,1
MBB 231,BISC 357,1
BISC 101,BISC 428,1
BISC 102,BISC 428,1
MBB 222,BISC 428,1
MBB 231,BISC 428,1
MBB 222,BISC 433,1
MBB 231,BISC 433,1
BISC 303,BISC 433,1
BISC 342,BISC 443,1
BISC 443,BISC 444,1
BISC 205,BISC 445,1
MBB 231,BISC 445,1
BISC 444,BISC 446,1
MBB 322,BISC 447,1
BISC 333,BISC 447,1
BISC 202,BISC 457,1
MBB 222,BISC 457,1
MBB 231,BISC 457,1
